season,team,games,wins,win_pct
2010,ARI,16,5,0.3125
2010,ATL,17,13,0.7647058823529411
2010,BAL,18,13,0.7222222222222222
2010,BUF,16,4,0.25
2010,CAR,16,2,0.125
2010,CHI,18,12,0.6666666666666666
2010,CIN,16,4,0.25
2010,CLE,16,5,0.3125
2010,DAL,16,6,0.375
2010,DEN,16,4,0.25
2010,DET,16,6,0.375
2010,GB,20,14,0.7
2010,HOU,16,6,0.375
2010,IND,17,10,0.5882352941176471
2010,JAX,16,8,0.5
2010,KC,17,10,0.5882352941176471
2010,MIA,16,7,0.4375
2010,MIN,16,6,0.375
2010,NE,17,14,0.8235294117647058
2010,NO,17,11,0.6470588235294118
2010,NYG,16,10,0.625
2010,NYJ,19,13,0.6842105263157895
2010,OAK,16,8,0.5
2010,PHI,17,10,0.5882352941176471
2010,PIT,19,14,0.7368421052631579
2010,SD,16,9,0.5625
2010,SEA,18,8,0.4444444444444444
2010,SF,16,6,0.375
2010,STL,16,7,0.4375
2010,TB,16,10,0.625
2010,TEN,16,6,0.375
2010,WAS,16,6,0.375
2011,ARI,16,8,0.5
2011,ATL,17,10,0.5882352941176471
2011,BAL,18,13,0.7222222222222222
2011,BUF,16,6,0.375
2011,CAR,16,6,0.375
2011,CHI,16,8,0.5
2011,CIN,17,9,0.5294117647058824
2011,CLE,16,4,0.25
2011,DAL,16,8,0.5
2011,DEN,18,9,0.5
2011,DET,17,10,0.5882352941176471
2011,GB,17,15,0.8823529411764706
2011,HOU,18,11,0.6111111111111112
2011,IND,16,2,0.125
2011,JAX,16,5,0.3125
2011,KC,16,7,0.4375
2011,MIA,16,6,0.375
2011,MIN,16,3,0.1875
2011,NE,19,15,0.7894736842105263
2011,NO,18,14,0.7777777777777778
2011,NYG,20,13,0.65
2011,NYJ,16,8,0.5
2011,OAK,16,8,0.5
2011,PHI,16,8,0.5
2011,PIT,17,12,0.7058823529411765
2011,SD,16,8,0.5
2011,SEA,16,7,0.4375
2011,SF,18,14,0.7777777777777778
2011,STL,16,2,0.125
2011,TB,16,4,0.25
2011,TEN,16,9,0.5625
2011,WAS,16,5,0.3125
2012,ARI,16,5,0.3125
2012,ATL,18,14,0.7777777777777778
2012,BAL,20,14,0.7
2012,BUF,16,6,0.375
2012,CAR,16,7,0.4375
2012,CHI,16,10,0.625
2012,CIN,17,10,0.5882352941176471
2012,CLE,16,5,0.3125
2012,DAL,16,8,0.5
2012,DEN,17,13,0.7647058823529411
2012,DET,16,4,0.25
2012,GB,18,12,0.6666666666666666
2012,HOU,18,13,0.7222222222222222
2012,IND,17,11,0.6470588235294118
2012,JAX,16,2,0.125
2012,KC,16,2,0.125
2012,MIA,16,7,0.4375
2012,MIN,17,10,0.5882352941176471
2012,NE,18,13,0.7222222222222222
2012,NO,16,7,0.4375
2012,NYG,16,9,0.5625
2012,NYJ,16,6,0.375
2012,OAK,16,4,0.25
2012,PHI,16,4,0.25
2012,PIT,16,8,0.5
2012,SD,16,7,0.4375
2012,SEA,18,12,0.6666666666666666
2012,SF,19,13,0.6842105263157895
2012,STL,16,7,0.4375
2012,TB,16,7,0.4375
2012,TEN,16,6,0.375
2012,WAS,17,10,0.5882352941176471
2013,ARI,16,10,0.625
2013,ATL,16,4,0.25
2013,BAL,16,8,0.5
2013,BUF,16,6,0.375
2013,CAR,17,12,0.7058823529411765
2013,CHI,16,8,0.5
2013,CIN,17,11,0.6470588235294118
2013,CLE,16,4,0.25
2013,DAL,16,8,0.5
2013,DEN,19,15,0.7894736842105263
2013,DET,16,7,0.4375
2013,GB,17,8,0.47058823529411764
2013,HOU,16,2,0.125
2013,IND,18,12,0.6666666666666666
2013,JAX,16,4,0.25
2013,KC,17,11,0.6470588235294118
2013,MIA,16,8,0.5
2013,MIN,16,5,0.3125
2013,NE,18,13,0.7222222222222222
2013,NO,18,12,0.6666666666666666
2013,NYG,16,7,0.4375
2013,NYJ,16,8,0.5
2013,OAK,16,4,0.25
2013,PHI,17,10,0.5882352941176471
2013,PIT,16,8,0.5
2013,SD,18,10,0.5555555555555556
2013,SEA,19,16,0.8421052631578947
2013,SF,19,14,0.7368421052631579
2013,STL,16,7,0.4375
2013,TB,16,4,0.25
2013,TEN,16,7,0.4375
2013,WAS,16,3,0.1875
2014,ARI,17,11,0.6470588235294118
2014,ATL,16,6,0.375
2014,BAL,18,11,0.6111111111111112
2014,BUF,16,9,0.5625
2014,CAR,18,8,0.4444444444444444
2014,CHI,16,5,0.3125
2014,CIN,17,10,0.5882352941176471
2014,CLE,16,7,0.4375
2014,DAL,18,13,0.7222222222222222
2014,DEN,17,12,0.7058823529411765
2014,DET,17,11,0.6470588235294118
2014,GB,18,13,0.7222222222222222
2014,HOU,16,9,0.5625
2014,IND,19,13,0.6842105263157895
2014,JAX,16,3,0.1875
2014,KC,16,9,0.5625
2014,MIA,16,8,0.5
2014,MIN,16,7,0.4375
2014,NE,19,15,0.7894736842105263
2014,NO,16,7,0.4375
2014,NYG,16,6,0.375
2014,NYJ,16,4,0.25
2014,OAK,16,3,0.1875
2014,PHI,16,10,0.625
2014,PIT,17,11,0.6470588235294118
2014,SD,16,9,0.5625
2014,SEA,19,14,0.7368421052631579
2014,SF,16,8,0.5
2014,STL,16,6,0.375
2014,TB,16,2,0.125
2014,TEN,16,2,0.125
2014,WAS,16,4,0.25
